,en,ru
Remove skill from this slot.,Remove skill from this slot.,Убрать навык из данного слота.
Skills,Skills,Навыки
Passives,Passives,Пассивные
Items,Items,Предметы
Passive Skills,Passive Skills,Пассивные Навыки
You currently don't have passives,You currently don't have passives,У вас сейчас нет пассивных навыков
End Turn,End Turn,Закончить Ход
Waves:,Waves:,Волны:
AP:,AP:,ОД:
AP x2,AP x2,ОД x2
Base Info,Base Info,Общая Информация
"Stacks: ","Stacks: ","Количество: "
Abilities,Abilities,Способности
Immune: ,Immune: ,Иммунитет: 
Resist: ,Resist: ,Сопротивление: 
Weak: ,Weak: ,Слабость: 
Fatal: ,Fatal: ,Смертельно: 
Resistance:,Resistance:,Сопротивление:
Weakness:,Weakness:,Слабость:
Claim Rewards,Claim Rewards,Соберите Награды
Go to next room,Go to next room,В следующую комнату
"You get to pick one out of three skills or upgrade any skill of the named color to use it in future.","You get to pick one out of three skills or upgrade any skill of the named color to use it in future.","Вы можете выбрать один навык из трех или улучшить один навык этого цвета, для будущего пользования."
Reward: Orange Skill,Reward: Orange Skill,Награда: Оранжевый Навык
Reward: Green Skill,Reward: Green Skill,Награда: Зеленый Навык
Reward: Red Skill,Reward: Red Skill,Награда: Красный Навык
Reward: Blue Skill,Reward: Blue Skill,Награда: Синий Навык
Reward: Purple Skill,Reward: Purple Skill,Награда: Фиолетовый Навык
Reward: Yellow Skill,Reward: Yellow Skill,Награда: Желтый Навык
"Rewards: White and Random Color Skills","Rewards: White and Random Color Skills","Награды: Белый и Цветной Навыки"
"Rewards: Orange And Red Skills","Rewards: Orange And Red Skills","Награды: Красный и Оранжевый Навыки"
"Rewards: Green And Red Skills","Rewards: Green And Red Skills","Награды: Красный и Зеленый Навыки"
"Rewards: Yellow And Red Skills","Rewards: Yellow And Red Skills","Награды: Красный и Желтый Навыки"
"Rewards: Blue And Red Skills","Rewards: Blue And Red Skills","Награды: Красный и Синий Навыки"
"Rewards: Purple And Red Skills","Rewards: Purple And Red Skills","Награды: Красный и Фиолетовый Навыки"
"Rewards: Orange And Green Skills","Rewards: Orange And Green Skills","Награды: Оранжевый и Зеленый Навыки"
"Rewards: Orange And Yellow Skills","Rewards: Orange And Yellow Skills","Награды: Оранжевый и Желтый Навыки"
"Rewards: Orange And Blue Skills","Rewards: Orange And Blue Skills","Награды: Оранжевый и Синий Навыки"
"Rewards: Orange And Purple Skills","Rewards: Orange And Purple Skills","Награды: Оранжевый и Фиолетовый Навыки"
"Rewards: Green And Yellow Skills","Rewards: Green And Yellow Skills","Награды: Зеленый и Желтый Навыки"
"Rewards: Green And Blue Skills","Rewards: Green And Blue Skills","Награды: Зеленый и Синий Навыки"
"Rewards: Green And Purple Skills","Rewards: Green And Purple Skills","Награды: Зеленый и Фиолетовый Навыки"
"Rewards: Blue And Yellow Skills","Rewards: Blue And Yellow Skills","Награды: Синий и Желтый Навыки"
"Rewards: Purple And Yellow Skills","Rewards: Purple And Yellow Skills","Награды: Фиолетовый Навыки"
"Rewards: Blue And Purple Skills","Rewards: Blue And Purple Skills","Награды: Синий и Фиолетовый Навыки"
"Destination: Shop","Destination: Shop","Направление: Магазин"
"Destination: Encounter","Destination: Encounter","Направление: Событие"
NORMAL_BATTLE_DESCRIPTION,"Defeat enemies in a battle to obtain a reward.","Победите врагов в схватке, чтобы получить награду."
DIFFICULT_BATTLE_DESCRIPTION,"Defeat enemies in a dangerous battle to obtain more rewards.","Победите врагов в опасной схватке, чтобы получить больше наград."
SHOP_DESCRIPTION,"Sell and buy Items and Skills using Stickers as currency.","Покупайте и продавайте Предметы и Навыки, используя Наклейки как валюту."
ENCOUNTER_DESCRIPTION,"Encounter various events that may help you on your journey.","Проживите разные события, которые могут помочь вам на вашем пути."
"Reroll ","Reroll","Перебросить"
Where To Head Next?,Where To Head Next?,Куда Дальше?
Choose One New Skill From These,Choose One New Skill From These,Выберите Новый Навык Из Этих
OR,OR,ИЛИ
Upgrade One Skill Of This Color,Upgrade One Skill Of This Color,Улучшите Один Навык Этого Цвета
No Skills?,No Skills?,Нет Навыков?
Change Target,Change Target,Сменить Цель
Orange Skill,Orange Skill,Оранжевый Навык
Green Skill,Green Skill,Зеленый Навык
Red Skill,Red Skill,Красный Навык
Blue Skill,Blue Skill,Синий Навык
Purple Skill,Purple Skill,Фиолетовый Навык
Yellow Skill,Yellow Skill,Желтый Навык
White Skill,White Skill,Белый Навык
" turns"," turns"," ходов"
"Floor ","Floor ","Этаж "
" Room "," Room "," Комната "
"Room ","Room ","Комната "
"Waves: ","Waves: ","Волны: "
Return To Longe,Return To Lounge,Вернуться в Холл
Regenerate 30% Max HP,Regenerate 30% Max HP,Восстановите 30% Макс HP
///////////////////////////INFO////////////////////////////////,.,.
List,List,Список
Enemy Intel,Enemy Intel,Враги
///////////////////////////STATUS EFFECTS////////////////////////////////,.,.
Status Effects,Status Effects,Состояния
Fragile,Fragile,Уязвимость
Spread,Spread,Разрастание
Weakness Coverage,Weakness Coverage,Прикрытие Слабостей
Mental Fortress,Mental Fortress,Ментальная Крепость
Blind,Blindness,Слепота
Empowerment,Empowerment,Усиление
Exhaustion,Exhaustion,Истощение
Sleep,Sleep,Сон
SPREAD,"Spread: Critical Rate increased by X% against enemies marked by Spread. Effect is doubled if the attack is green","Разрастание: Шанс Крита против врагов, отмеченных Разрастанием увеличен на Х%. Эффект удваивается если атака зеленая."
FRAGILE,"Fragile: Fragile creature takes X% more damage.","Уязвимость: Уязвимое существо получает на Х% больше урона."
EMPOWERMENT,"Empowerment: Empowered creature deals X% more damage.","Усиление: Усиленное существо наносит на Х% больше урона."
BLINDNESS,"Blindness: Blinded creature's AVO is decreased by X and while it's Blinded it has X more chance to miss an attack.","Слепота: Вероятность промаха цели и вероятность попадания по цели увеличиваются на Х%."
EXHAUSTION,"Exhaustion: Exhausted creature looses X EN and takes X*5 blue damage at the start of every turn after what Exhaustion is lowered by 1.","Истощение: Цель теряет Х энергии и получает Х * 5 синего урона в начале каждого хода, после чего Истощение снижается на 1."
SLEEP,"Sleep: Sleeping creature can't act. Attacks against sleeping creature always hit, but wake up the creature.","Сон: Спящее существо не может действовать. Атаки по спящему существу всегда попадают, но в таком случае существо просыпается."
BIND,"Bind: Creature's hit probability is lowered by X and its SPD is reduced by a third.","Связывание: Вероятность попадания существа снижается на Х и SPD уменьшается на треть."
ACHES,"Aches: Creature deals X% less damage.","Ломота: Существо наносит на Х% меньше урона."
SILENCE,"Silence: Creature can't use abilities and it's passive abilities and bonuses from abilities are inactive unless it's stated otherwise.","Молчание: Существо не может использовать навыки и его пассивные навыки и бонусы от навыков не работают, если не указано иначе."
CLOSURE,"Closure: Creature can't gain additional actions and its SPD is reduced by X(can't go below 1).","Замыкание: Существо не может получать дополнительные действия и его SPD понижается на Х(не ниже 1)."
MIASMA,"Miasma: Creature's RES is reduced by X.","Миазма: RES существа понижено на Х."
HASTE,"Haste: Creature's SPD is increased by X. If the creature is Salim - active abilities' CD is reduced by Y.","Ускорение: SPD существа увеличено на Х. Если существо Салим - откат всех его активных навыков сокращается на Y."
EASY_DIFFICULTY,"Enemies are easier to defeat and game more easy to clear the more you play. Suitable for players that want to see the whole story first.","Врагов проще победить и сложность игры понижается чем дольше вы играете. Подходит для игроков, которые хотят увидеть всю историю быстрее."
NORMAL_DIFFICULTY,"Normal difficulty that allows to experience the story normally and play game at mid speed. Not too fast, not too painful.","Средняя сложность, которая позволяет прогрессировать по истории нормально и проходить игру на средней скорости. Не слишком быстро, не слишком болезненно."
HARD_DIFFICULTY,"Welcome to Hell. You only have yourself to blame.","Добро пожаловать в Ад. Вы сами виноваты в этом."
///////////////////////////INFO UI////////////////////////////////,.,.
"When shield takes damage restore 1 EN for every 10 damage.","When shield takes damage restore 1 EN for every 10 damage.","Когда щит получает урон за каждые 10 урона получите +1 EN."
BLOOD_MOON_STATUS_1,"Salim can't miss and his attacks ignore 10% DEF.","Салим не может промахнуться и его атаки игнорируют 10% DEF."
BLOOD_MOON_STATUS_2,"Salim can't miss and his attacks ignore 20% DEF.","Салим не может промахнуться и его атаки игнорируют 20% DEF."
BLOOD_MOON_STATUS_3,"Salim can't miss and his attacks ignore 30% DEF.","Салим не может промахнуться и его атаки игнорируют 30% DEF."
BLOOD_MOON_STATUS_4,"Salim can't miss and his attacks ignore 40% DEF.","Салим не может промахнуться и его атаки игнорируют 40% DEF."
BLOOD_MOON_STATUS_5,"Salim can't miss and his attacks ignore 50% DEF.","Салим не может промахнуться и его атаки игнорируют 50% DEF."
"You gain ","You gain ","Вы получаете "
"% Empowerment.","% Empowerment.","% Усиление."
DURATION_1,"Duration: 1 turn","Длительность: 1 ход"
DURATION_2,"Duration: 2 turns","Длительность: 2 хода"
DURATION_3,"Duration: 3 turns","Длительность: 3 хода"
DURATION_4,"Duration: 4 turns","Длительность: 4 хода"
DURATION_5,"Duration: 5 turns","Длительность: 5 ходов"
DURATION_6,"Duration: 6 turns","Длительность: 6 ходов"
DURATION_7,"Duration: 7 turns","Длительность: 7 ходов"
DURATION_8,"Duration: 8 turns","Длительность: 8 ходов"
DURATION_9,"Duration: 9 turns","Длительность: 9 ходов"
DURATION_10,"Duration: 10 turns","Длительность: 10 ходов"
DURATION_11,"Duration: 11 turns","Длительность: 11 ходов"
DURATION_12,"Duration: 12 turns","Длительность: 12 ходов"
DURATION_13,"Duration: 13 turns","Длительность: 13 ходов"
DURATION_14,"Duration: 14 turns","Длительность: 14 ходов"
DURATION_15,"Duration: 15 turns","Длительность: 15 ходов"
///////////////////////////UPGRADES////////////////////////////////,.,.
Upgrades,Upgrades,Улучшения
Reach Upgrades LVL 10 to unlock,Reach Upgrades LVL 10 to unlock,"Требуется 10 уровень Улучшений"
Reach Upgrades LVL 25 to unlock,Reach Upgrades LVL 25 to unlock,"Требуется 25 уровень Улучшений"
Sleep With A Baseball Bat,Sleep With A Baseball Bat,Sleep With A Baseball Bat
SWABB_DESCRIPTION,"Normal attacks deal +10% damage.","Обычные атаки наносят на 10% больше урона."
Health Insurance,Health Insurance,Медицинская Страховка
HEALTH_INSURANCE_DESCRIPTION,"Max HP +10.","Максимальное ХП +10."
Poise For Actions,Poise For Actions,Призыв к Действиям
POISE_FOR_ACTIONS_DESCRIPTION,"Number of actions per turn +1.","Число действий в ход +1."
Sticker's Bag,Sticker's Bag,Сумка Для Стикеров
STICKERS_BAG_DESCRIPTION,"Start runs with 20 more stickers.","Начинайте забег с +20 стикерами."
Death Evasion,Death Evasion,Избегание Смерти
DEATH_EVASION_DESCRIPTION,"Gain +1 Death Evasion at the start of each run. Each Death Evasion is used to restore your HP when it reaches 0, allowing you to continue fighting.","Получите +1 Избегание Смерти. Каждое Избегание Смерти тратится, чтобы восстановить ваше ХП, когда оно падает до 0, позволяя сражаться дальше."
Regular Customer,Regular Customer,Постоянный Покупатель
REGULAR_CUSTOMER_DESCRIPTION,"1 more item is up to sale in the Shop.","В Магазине продает на 1 предмет больше."
Colorful Beats,Colorful Beats,Красочные Ритмы
COLORFUL_BEATS_DESCRIPTION,"Deal +2% damage for each skill of different color brought to fight.","Наносите на 2% больше урона за каждый навык разного цвета, взятый в бой."
Fate Changer,Fate Changer,Хозяин Судьбы
FATE_CHANGER_DESCRIPTION,"You can reroll skills when selecting them as a rewards or from the Shop 1 more time.","Вы можете перебрасывать навыки, когда выбираете их как награду или в Магазине, на 1 раз больше."
Navigator,Navigator,Навигатор
NAVIGATOR_DESCRIPTION,"You can reroll room rewards 1 more time.","Вы можете перебрасывать награды комнат на 1 раз больше."
Tough,Tough,Крепкий
TOUGH_DESCRIPTION,"Number of Resistances +1.","Количество Сопротивлений +1."
///////////////////////////START ITEMS////////////////////////////////,.,.
Thorns,Thorns,Шипы
thorns_NAME,Thorns,Шипы
thorns_DESCRIPTION,"ATK +5","ATK +5"
THORNS_DESCRIPTION,"ATK +5","ATK +5"
thorns_LORE,"...","..."
Favorite Shirt,Favorite Shirt,Любимая Рубашка
favoriteshirt_NAME,Favorite Shirt,Любимая Рубашка
favoriteshirt_DESCRIPTION,"END +5","END +5"
FAVORITE_SHIRT_DESCRIPTION,"END +5","END +5"
favoriteshirt_LORE,"...","..."
Comfortable Shoes,Comfortable Shoes,Удобные Ботинки
comfortableshoes_NAME,Comfortable Shoes,Удобные Ботинки
comfortableshoes_DESCRIPTION,"SPD +10","SPD +10"
COMFORTABLE_SHOES_DESCRIPTION,"SPD +10","SPD +10"
comfortableshoes_LORE,"...","..."
Helmet,Helmet,Каска
helmet_NAME,Helmet,Каска
helmet_DESCRIPTION_UNLOCK,"How to obtain: Create 3 shields in one battle.","Как получить: Создайте 3 щита в одном бою."
helmet_DESCRIPTION,"DEF +10","DEF +10"
HELMET_DESCRIPTION,"DEF +10","DEF +10"
helmet_LORE,"...","..."
Glasses,Glasses,Очки
glasses_NAME,Glasses,Очки
glasses_DESCRIPTION_UNLOCK,"How to obtain: Score 3 critical hits in one battle.","Способ получения: Нанесите 3 критических удара за один бой."
glasses_DESCRIPTION,"SEN +10","SEN +10"
GLASSES_DESCRIPTION,"SEN +10","SEN +10"
glasses_LORE,"...","..."
Cup,Cup,Кубок
cup_NAME,Cup,Кубок
cup_DESCRIPTION_UNLOCK,"How to obtain: Use 3 ultimates in one battle.","Способ получения: Используйте 3 ультимейта за один бой."
cup_DESCRIPTION,"ENR +10","ENR +10"
CUP_DESCRIPTION,"ENR +10","ENR +10"
cup_LORE,"...","..."
Notebook,Notebook,Блокнот
notebook_NAME,Notebook,Блокнот
notebook_DESCRIPTION_UNLOCK,"How to obtain: Spend a total of 300 stickers among runs.","Способ получения: Потратьте в общем 300 стикеров во время забегов."
notebook_DESCRIPTION,"Number of stickers at the start of the run +100.","Стартовое число стикеров при начале забега +100."
NOTEBOOK_DESCRIPTION,"Number of stickers at the start of the run +100.","Стартовое число стикеров при начале забега +100."
notebook_LORE,"...","..."
Bottle Of Blood,Bottle Of Blood,Бутылек Крови
bottleofblood_NAME,Bottle Of Blood,Бутылек Крови
bottleofblood_DESCRIPTION_UNLOCK,"How to obtain: Learn all red skills.","Способ получения: Выучите все красные навыки."
bottleofblood_DESCRIPTION,"Chance of rooms with red skills appearing increses.\nWhen getting a red skill, its starting level is 2.","Шанс появления комнат с красными навыками увеличен.\nКогда вы получаете красные навыки, они изначально второго уровня."
BOTTLE_OF_BLOOD_DESCRIPTION,"Chance of rooms with red skills appearing increses.\nWhen getting a red skill, its starting level is 2.","Шанс появления комнат с красными навыками увеличен.\nКогда вы получаете красные навыки, они изначально второго уровня."
bottleofblood_LORE,"...","..."
Piece Of Shield,Piece Of Shield,Обломок Щита
pieceofshield_NAME,Piece Of Shield,Обломок Щита
pieceofshield_DESCRIPTION_UNLOCK,"How to obtain: Learn all orange skills.","Способ получения: Выучите все оранжевые навыки."
pieceofshield_DESCRIPTION,"Chance of rooms with orange skills appearing increses.\nWhen getting a orange skill, its starting level is 2.","Шанс появления комнат с оранжевыми навыками увеличен.\nКогда вы получаете оранжевые навыки, они изначально второго уровня."
PIECE_OF_SHIELD_DESCRIPTION,"Chance of rooms with orange skills appearing increses.\nWhen getting a orange skill, its starting level is 2.","Шанс появления комнат с оранжевыми навыками увеличен.\nКогда вы получаете оранжевые навыки, они изначально второго уровня."
pieceofsield_LORE,"...","..."
Bottled Lightnings,Bottled Lightnings,Бутылированные Молнии
bottledlightnings_NAME,Bottled Lightnings,Бутылированные Молнии
bottledlightnings_DESCRIPTION_UNLOCK,"How to obtain: Learn all yellow skills.","Способ получения: Выучите все желтые навыки."
bottledlightnings_DESCRIPTION,"Chance of rooms with yellow skills appearing increses.\nWhen getting a yellow skill, its starting level is 2.","Шанс появления комнат с красными навыками увеличен.\nКогда вы получаете красные навыки, они изначально второго уровня."
BOTTLED_LIGHTNINGS_DESCRIPTION,"Chance of rooms with yellow skills appearing increses.\nWhen getting a yellow skill, its starting level is 2.","Шанс появления комнат с красными навыками увеличен.\nКогда вы получаете красные навыки, они изначально второго уровня."
bottledlightnings_LORE,"...","..."
Sprout,Sprout,Росток
sprout_NAME,Sprout,Росток
sprout_DESCRIPTION_UNLOCK,"How to obtain: Learn all green skills.","Способ получения: Выучите все зеленые навыки."
sprout_DESCRIPTION,"Chance of rooms with green skills appearing increses.\nWhen getting a green skill, its starting level is 2.","Шанс появления комнат с зелеными навыками увеличен.\nКогда вы получаете зеленые навыки, они изначально второго уровня."
SPROUT_DESCRIPTION,"Chance of rooms with green skills appearing increses.\nWhen getting a green skill, its starting level is 2.","Шанс появления комнат с зелеными навыками увеличен.\nКогда вы получаете зеленые навыки, они изначально второго уровня."
sprout_LORE,"...","..."
Umbrella,Umbrella,Зонт
umbrella_NAME,Umbrella,Зонт
umbrella_DESCRIPTION_UNLOCK,"How to obtain: Learn all blue skills.","Способ получения: Выучите все синие навыки."
umbrella_DESCRIPTION,"Chance of rooms with blue skills appearing increses.\nWhen getting a blue skill, its starting level is 2.","Шанс появления комнат с синими навыками увеличен.\nКогда вы получаете синие навыки, они изначально второго уровня."
UMBRELLA_DESCRIPTION,"Chance of rooms with blue skills appearing increses.\nWhen getting a blue skill, its starting level is 2.","Шанс появления комнат с синими навыками увеличен.\nКогда вы получаете синие навыки, они изначально второго уровня."
umbrella_LORE,"...","..."
Violet,Violet,Фиалка
violet_NAME,Violet,Фиалка
violet_DESCRIPTION_UNLOCK,"How to obtain: Learn all purple skills.","Способ получения: Выучите все фиолетовые навыки."
violet_DESCRIPTION,"Chance of rooms with purple skills appearing increses.\nWhen getting a purple skill, its starting level is 2.","Шанс появления комнат с фиолетовыми навыками увеличен.\nКогда вы получаете фиолетовые навыки, они изначально второго уровня."
VIOLET_DESCRIPTION,"Chance of rooms with purple skills appearing increses.\nWhen getting a purple skill, its starting level is 2.","Шанс появления комнат с фиолетовыми навыками увеличен.\nКогда вы получаете фиолетовые навыки, они изначально второго уровня."
violet_LORE,"...","..."
Photographic Film,Photographic Film,Фотопленка
photographicfilm_NAME,Photographic Film,Фотопленка
photographicfilm_DESCRIPTION_UNLOCK,"How to obtain: Use a total of 100 actions among runs.","Способ получения: Используйте в общем 100 действий во время забегов."
photographicfilm_DESCRIPTION,"Number of actions per turn +2.","Количество действий в ход +2."
PHOTOGRAPHIC_FILM_DESCRIPTION,"Number of actions per turn +2.","Количество действий в ход +2."
photographicfilm_LORE,"...","..."
///////////////////////////ITEMS////////////////////////////////,.,.
Common Items,Common Items,Обычные Предметы
Stationery Knife,Stationery Knife,Канцелярский Ножик
STATIONERY_KNIFE_DESCRIPTION,"Gain 20% more stickers after fights.","Вы получаете на 20% больше стикеров после боев."
Heart Pin,Heart Pin,Пин с Сердечком
HEART_PIN_DESCRIPTION,"For each 10 stickers gained through the current run increase Max HP by 5.","За каждые 10 стикеров, полученных за этот забег, Максимум ХП увеличивается на 5."
Bottle Of Water,Bottle Of Water,Бутылка Воды
BOTTLE_OF_WATER_DESCRIPTION,"At the start of the fight restore 7 EN.","В начале боя вы восстанавливаете 7 EN."
Thermos,Thermos,Термос
THERMOS_DESCRIPTION,"At the start of your turn you restore 10 HP.","В начале своего хода вы восстанавливаете 10 ХП."
Energy Drink,Energy Drink,Энергетический напиток
ENERGY_DRINK_DESCRIPTION,"At the start of your turn you restore 1 EN.","В начале своего хода вы восстанавливаете 1 EN."
Bottle Of Acid,Bottle Of Acid,Склянка с Кислотой
BOTTLE_OF_ACID_DESCRIPTION,"All enemies' DEF -5%.","DEF -5% у всех врагов."
Toy Hammer,Toy Hammer,Игрушечный Молоток
TOY_HAMMER_DESCRIPTION,"All enemies' ATK -5%.","ATK -5% у всех врагов."
Nails,Nails,Гвозди
NAILS_DESCRIPTION,"Normal attacks deal 20% more damage.","Обычные атаки наносят на 20% больше урона."
Needle,Needle,Игла
NEEDLE_DESCRIPTION,"When inflicting Exhaustion, inflict 1 more stack.","Когда вы накладываете Истощение, наложите на 1 Истощение больше."
Shocker,Shocker,Шокер
SHOCKER_DESCRIPTION,"Each stack of Exhaustion deals 1 more damage.","Каждая единица истощения наносит на 1 больше урона."
Blood Pact,Blood Pact,Кровавый Пакт
BLOOD_PACT_DESCRIPTION,"Your Max HP is reduces by 30.","Ваш Максимум ХП уменьшен на 30"
Bottle of Paints,Bottle Of Paints,Бутылек с Красками
BOTTLE_OF_PAINTS_DESCRIPTION,"Your Max HP is increases by 30. Immediately gain 50 stickers.\nThis item cannot be sold.","Ваш Максимум ХП увеличен на 30. Сразу же получите 50 стикеров.\nДанный предмет нельзя продать."
Herbalist Kit,Herbalist Kit,Набор Травника
HERBALIST_KIT_DESCRIPTION,"Increases the healing effectiveness by 25%.","Повышает эффективность лечения на 25%."
Uncommon Items,Uncommon Items,Необычные предметы
Business Card,Business Card,Визитка
BUSINESS_CARD_DESCRIPTION,"Gain 50% more stickers after fights.","Вы получаете на 20% больше стикеров после боев."
Cat Pin,Cat Pin,Пин с Котиком
CAT_PIN_DESCRIPTION,"For each 10 stickers gained through the current run increase SEN by 1.","За каждые 10 стикеров, полученных за этот забег, SEN увеличивается на 1."
Hearts Pin,Hearts Pin,Пин с Сердечками
HEARTS_PIN_DESCRIPTION,"For each 10 stickers gained through the current run increase Max HP by 15.","За каждые 10 стикеров, полученных за этот забег, Максимум ХП увеличивается на 15."
Jiuce,Juice,Сок
JUICE_DESCRIPTION,"At the start of the fight restore 12 EN.","В начале боя вы восстанавливаете 12 EN."
Coffee,Coffee,Кофе
COFFEE_DESCRIPTION,"At the start of your turn you restore 2 EN.","В начале своего хода вы восстанавливаете 2 EN."
Magnifying Glass,Magnifying Glass,Увеличительное Стекло
MAGNIFYING_GLASS_DESCRIPTION,"At the start of each turn you gain ATK +50%. This effect ends after you use normal attack, skill or ultimate.","В начале каждого хода вы получаете ATK +50%. Данный эффект оканчивается после того как вы испольуете обычную атаку, навык или ультимейт."
Used Battery,Used Battery,Использованная Батарейка
USED_BATTERY_DESCRIPTION,"Normal attacks restore 2 additional EN.","Обычные атаки восстанавливают дополнительно 2 EN."
Saber,Saber,Сабля
SABER_DESCRIPTION,"Normal attacks deal 40% more damage.","Обычные атаки наносят на 40% больше урона."
Paper Ship,Paper Ship,Бумажный Кораблик
PAPER_SHIP_DESCRIPTION,"All enemies' DEF -15%.","DEF -15% у всех врагов."
Water Pistol,Water Pistol,Водный Пистолетик
WATER_PISTOL_DESCRIPTION,"All enemies' ATK -15%.","ATK -15% у всех врагов."
Alarm Clock,Alarm Clock,Будильник
ALARM_CLOCK_DESCRIPTION,"At the start of its turn, sleeping creature takes 30 physical damage.","В начале своего хода спящее существо получает 30 физического урона."
Mike,Mike,Микрофон
MIKE_DESCRIPTION,"When inflicting Exhaustion, inflict 2 more stack.","Когда вы накладываете Истощение, наложите на 2 Истощение больше."
Music Disc,Music Disc,Музыкальный Диск
MUSIC_DISC_DESCRIPTION,"Blue skills restore 1 more EN.","Синие навыки восстанавливают на 1 EN больше."
Root Of Despair,Root Of Despair,Корень Отчаяния
ROOT_OF_DESPAIR_DESCRIPTION,"Enemies can't restore health.","Враги не могут восстанавливать здоровье."
Paper Cranes,Paper Cranes,Бумажные Журавлики
PAPER_CRANES_DESCRIPTION,"ATK, DEF and END increases by 1 for each room visited in this run.","ATK, DEF и END увеличиваются на 1 за каждый пройденный этаж в этом забеге."
Bandages,Bandages,Бинты
BANDAGES_DESCRIPTION,"Increases the healing effectiveness by 50%.","Повышает эффективность лечения на 50%."
Fan,Fan,Веер
FAN_DESCRIPTION,"Each time you dodge the attack, attacker takes 20 physical damage.","Каждый раз, когда вы уклоняетесь от атаки, атакующий получает 20 физического урона."
Bloodstained Armor,Bloodstained Armon,Окровавленный Доспех
BLOODSTAINED_ARMOR_DESCRIPTION,"END +5\nWhen your HP is below 50% of Max HP, ATK +5.","END +5\nКогда ваше ХП ниже 50% от Максимума ХП, АТК +5."
Backpack,Backpack,Ранец
BACKPACK_DESCRIPTION,"DEF +10\nWhen you attack, deal additional damage equal to 20% of your DEF.","DEF +10\nКогда вы атакуете, вы наносите дополнительный урон, равный 20% от вашего DEF."
Hands Pin,Hands Pin,Пин с Руками
HANDS_PIN_DESCRIPTION,"For each 10 stickers gained through the current run increase SEN by 3.","За каждые 10 стикеров, полученных за этот забег, SEN увеличивается на 3."
Coupon For Hugs,Coupon For Hugs,Купон на Обнимашки
